1,"Don Quijote de Venezuela"
2,"Don Rafael"
3,"Don Ramon"
4,"Don Ramos"
5,"Don Rene"
6,"Don Rene de Cuba"
7,"Don Rex"
8,"Don Rey"
9,"Don Rigo"
10,"Don Rios"
11,"Don Rivera"
12,"Don Rogue"
13,"Don Ronaldo"
14,"Don Rosa"
15,"Don Rubio"
16,"Don Sebastian"
17,"Don Sergio Ramar"
18,"Don Seville %28Hon%29"
19,"Don Seville %28Nic%29"
20,"Don Smith"
21,"Don Stefano"
22,"Don Tito"
23,"Don Tomas"
24,"Don Tuto"
25,"Don Ursulo"
26,"Don Vicente"
27,"Don Yayo"
28,"Don Yeyo"
29,"Don Zamora"
30,"Dona Elba"
31,"Dona Ero"
32,"Dona Flor"
33,"Dona Ines"
34,"Dona Lydia"
35,"Dona Nieves"
36,"Dona Patricia"
37,"Dos Amates"
38,"Dos Amigos"
39,"Dos Hermanos"
40,"Dos Hermanos Royal Collection"
41,"Dos Hombres"
42,"Dos Reinas"
43,"Dos Rios"
44,"Double Happiness"
45,"Doublegun"
46,"Doubloons"
47,"Dr. Funk"
48,"DRAM %28C%26C cigars%29"
49,"Dreams"
50,"Drew Estate"
