1,"Davidoff 100 Years Geneva (Since 1911) Robusto","5","52","DR","DR/ECU","CRI/DR","Colorado Claro","Medium-Full",
1,"Davidoff 535 Madison 20th Anniversary","5.25","50","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Aniversario No. 1","8.625","48","DR","DR","CTS/ECU","Colorado Claro","Medium",
1,"Davidoff Aniversario No. 2","7","48","DR","DR","CTS/ECU","Colorado Claro","Medium",
1,"Davidoff Aniversario No. 3 ","6","50","DR","DR","CTS/ECU","Colorado Claro","Medium",
1,"Davidoff Broberg's 125th Anniversary Limited Edition","4.92","52","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Cigarillos Ambassadrice","4.625","26","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Cigarillos Club Cigarillos","4","23","DEN","BRA/CBCS/INDO","SUM","Colorado Claro","Mild-Medium",
1,"Davidoff Cigarillos Demi-Tasse","4","25","NET","BRA/CBCS/INDO","SUM","Colorado Claro","Mild-Medium",
1,"Davidoff Cigarillos Exquisitos","3.625","22","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Cigarillos Limited Edition Miniatures","3.2","22","","BRA/ECU/Java","HAB","Colorado Maduro","Medium-Full",
1,"Davidoff Cigarillos Long Panatela","5.5","25","NET","BRA/CBCS/INDO","SUM","Colorado Claro","Mild-Medium",
1,"Davidoff Cigarillos Mini Cigarillos","3.5","20","DEN","BRA/CBCS/INDO","SUM","Colorado Claro","Mild-Medium",
1,"Davidoff Cigarillos Mini Cigarillos Silver","3.5","20","DEN","BRA/CBCS/INDO","SUM","Colorado Claro","Mild",
1,"Davidoff Classic No. 1 ","7.5","38","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Classic No. 2 ","6","38","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Classic No. 2 Tubos","6","38","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Classic No. 3","5.125","30","DR","DR","CTS/ECU","Claro","Mild",
1,"Davidoff Club House Toro","6.25","52","DR","DR","DR","Colorado","Medium-Full",
1,"Davidoff Colorado Claro Anniversario No.3","6","50","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Colorado Claro Double R","7.5","50","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Colorado Claro Short Perfecto ","4.825","52","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Colorado Claro Special R ","4.78","50","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Colorado Claro Special T","6","52","DR","DR","ECU","Colorado Claro","Medium",
1,"Davidoff Davidoff of Geneva 25th Anniversary Robusto Gordo","5","56","DR","DR","DR","Colorado Maduro","Medium-Full",
