1,"Dignity Pizzeria Pizzeria Medium","6","56","CR","CR","CR","Colorado Maduro","Medium-Full",
2,"Dimeola Belicoso","5.75","46","","BRA/DR","BRA","","",
2,"Dimeola Gran Robusto","5.75","52","","BRA/DR","BRA","","",
2,"Dimeola Magnifico","5","48","","BRA/DR","BRA","","",
2,"Dimeola No. 1","6.5","44","","BRA/DR","BRA","","",
2,"Dimeola Oledas","5.62","40","","BRA/DR","BRA","","",
2,"Dimeola Regalias","6","50","","BRA/DR","BRA","","",
3,"Diogenes Puentes Brevas","5.5","40","BRA","BRA","","Colorado Maduro","",
3,"Diogenes Puentes Camaguey","4","48","BRA","BRA","","Colorado Maduro","",
3,"Diogenes Puentes Coronados","7","46","BRA","BRA","","Colorado Maduro","",
3,"Diogenes Puentes Robusto","4.75","50","BRA","BRA","","Colorado Maduro","",
4,"Diplomaticos E.R. (2012) Espana Colleccion Privada ","4","50","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos E.R. (2015) Asia Pacifico Bushido","7.2","50","CUB","CUB","CUB","Colorado","Full",
4,"Diplomaticos E.R. (2015) Cuba Excelencias","4.9","50","CUB","CUB","CUB","Colorado Claro","Mild-Medium",
4,"Diplomaticos E.R. (2015) Paises Bajos El Ambajador","5.3","52","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 1 ","6.5","42","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 2 ","6.125","52","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 3","5.5","42","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 4","5","42","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 5","4","40","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 6","7.5","38","CUB","CUB","CUB","Colorado","Medium-Full",
4,"Diplomaticos No. 7","6","38","CUB","CUB","CUB","Colorado","Medium-Full",
