1,"Velasquez Pyramid","6","42","PR","PR","PR","Colorado Maduro","Mild",
2,"Velvet Cigars The Astor Churchill","7","50","","DR","","Colorado Maduro","Medium",
2,"Velvet Cigars The Astor Corona","6","44","","DR","","Colorado Maduro","Medium",
2,"Velvet Cigars The Astor Robusto","5","50","","DR","","Colorado Maduro","Medium",
2,"Velvet Cigars The Astor Torpedo","6.5","52","","DR","","Colorado Maduro","Medium",
2,"Velvet Cigars The Bowery Churchill","7","52","HON","HON/NIC","ECU","Colorado Maduro","Medium-Full",
2,"Velvet Cigars The Bowery Robusto","5","50","HON","HON/NIC","ECU","Colorado Maduro","Medium-Full",
2,"Velvet Cigars The Bowery Toro","6.5","52","HON","HON/NIC","ECU","Colorado Maduro","Medium-Full",
2,"Velvet Cigars The Bowery Torpedo","6","52","HON","HON/NIC","ECU","Colorado Maduro","Medium-Full",
2,"Velvet Cigars The Cooper Churchill","7","50","","DR","CTS","Colorado Claro","Mild",
2,"Velvet Cigars The Cooper Corona","6","44","","DR","CTS","Colorado Claro","Mild",
2,"Velvet Cigars The Cooper Robusto","5","50","","DR","CTS","Colorado Claro","Mild",
2,"Velvet Cigars The Cooper Torpedo","6.5","52","","DR","CTS","Colorado Claro","Mild",
2,"Velvet Cigars The Tompkins Churchill","7","50","","DR","","Maduro","Full",
2,"Velvet Cigars The Tompkins Corona","6","44","","DR","","Maduro","Full",
2,"Velvet Cigars The Tompkins Robusto","5","50","","DR","","Maduro","Full",
2,"Velvet Cigars The Tompkins Torpedo","6.5","52","","DR","","Maduro","Full",
3,"Vendetta Filtered Cigars Cherry","3.5","22","USA","","HMG","Colorado Maduro","",
3,"Vendetta Filtered Cigars Chocolate","3.5","22","USA","","HMG","Colorado Maduro","",
3,"Vendetta Filtered Cigars Clove","3.5","22","USA","","HMG","Colorado Maduro","",
3,"Vendetta Filtered Cigars Full","3.5","18","USA","","","Naturale","Mild-Medium",
3,"Vendetta Filtered Cigars Honey","3.5","18","USA","","","Naturale","Mild-Medium",
3,"Vendetta Filtered Cigars Mint","3.5","18","USA","","","Naturale","Mild-Medium",
3,"Vendetta Filtered Cigars Peach","3.5","18","USA","","","Naturale","Mild-Medium",
3,"Vendetta Filtered Cigars Rum","3.5","18","USA","","","Naturale","Mild-Medium",
3,"Vendetta Filtered Cigars Vanilla","3.5","22","USA","","HMG","Colorado Maduro","",
3,"Vendetta Filtered Cigars Wild Berry","3.5","22","USA","","HMG","Colorado Maduro","",
4,"Vengeance (Rocky Patel Blend) Churchill","7","50","DR","DR/HON/NIC","BRA","Maduro","Medium",
4,"Vengeance (Rocky Patel Blend) Robusto","5.5","52","DR","DR/HON/NIC","BRA","Maduro","Medium",
4,"Vengeance (Rocky Patel Blend) Toro","6","54","DR","DR/HON/NIC","BRA","Maduro","Medium",
4,"Vengeance (Rocky Patel Blend) Torpedo","6.5","52","DR","DR/HON/NIC","BRA","Maduro","Medium",
4,"Vengeance Maduro Ligero 6X60","6","60","DR","DR/HON","BRA","Maduro","Medium-Full",
4,"Vengeance Maduro Ligero Robusto ","5.5","50","DR","DR/HON","BRA","Maduro","Medium-Full",
4,"Vengeance Maduro Ligero Super Toro ","6.25","52","DR","DR/HON","BRA","Maduro","Medium-Full",
4,"Vengeance Maduro Ligero Torpedo ","6.25","52","DR","DR/HON","BRA","Maduro","Medium-Full",
4,"Vengeance Series 98 6X60","6","60","DR","DR","DR","Colorado Claro","Medium",
4,"Vengeance Series 98 Robusto ","5.5","50","DR","DR","DR","Colorado Claro","Medium",
4,"Vengeance Series 98 Super Toro ","6.25","52","DR","DR","DR","Colorado Claro","Medium",
4,"Vengeance Series 98 Torpedo","6.25","52","DR","DR","DR","Colorado Claro","Medium",
5,"Venom Black Mamba","6","52","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom Copperhead","6.125","52","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom Cottonmouth","5.75","48","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom Fang","4.5","44","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom King Cobra","5","54","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom Rattlesnake","6.5","44","NIC","NIC","NIC","Colorado Maduro","Full",
5,"Venom Viper","6.75","49","NIC","NIC","NIC","Colorado Maduro","Full",
6,"Ventura Cigar Archetype Axis Mundi Churchill","7","48","NIC","HAB/NIC","ECU/HAB","Colorado Claro","Full",
6,"Ventura Cigar Archetype Axis Mundi Corona","5","46","NIC","HAB/NIC","ECU/HAB","Colorado Claro","Full",
6,"Ventura Cigar Archetype Axis Mundi Robusto","5","54","NIC","HAB/NIC","ECU/HAB","Colorado Claro","Full",
6,"Ventura Cigar Archetype Axis Mundi Toro","6","52","NIC","HAB/NIC","ECU/HAB","Colorado Claro","Full",
6,"Ventura Cigar Archetype Dreamstate Churchill","7","48","DR","SEC","CT/ECU","Claro","Mild-Medium",
6,"Ventura Cigar Archetype Dreamstate Robusto","5","52","DR","SEC","CT/ECU","Claro","Mild-Medium",
6,"Ventura Cigar Archetype Dreamstate Toro","6","50","DR","SEC","CT/ECU","Claro","Mild-Medium",
6,"Ventura Cigar Archetype Initiation Churchill","7","48","NIC","HAB/NIC","ECU/HAB","Colorado","Medium",
6,"Ventura Cigar Archetype Initiation Corona","5","46","NIC","HAB/NIC","ECU/HAB","Colorado","Medium",
6,"Ventura Cigar Archetype Initiation Robusto","5","54","NIC","HAB/NIC","ECU/HAB","Colorado","Medium",
